ID,id,location_id,accessibility,details
1030,7642,7642,"Handicap accessible",
1031,7644,7644,,
1032,7645,7645,,
1033,7646,7646,,
1034,7647,7647,,
1035,7648,7648,,
1036,7649,7649,,
1037,,,,
1038,1,1,"Handicap accessible",
1039,17,17,,
1040,21,21,,
1041,22,22,"Handicap accessible",
1042,23,23,"Handicap accessible",
1043,25,25,"Handicap accessible",
1044,29,29,,
1045,30,30,,
1046,31,31,,
1047,32,32,,
1048,34,34,,
1049,35,35,,
1050,38,38,"Handicap accessible",
1051,39,39,,
1052,42,42,,
1053,44,44,,
1054,45,45,,
1055,46,46,,
1056,47,47,,
1057,48,48,,
1058,50,50,,
1059,51,51,,
1060,52,52,"Handicap accessible",
1061,53,53,"Handicap accessible",
1062,55,55,,
1063,57,57,,
1064,58,58,,
1065,59,59,,
1066,62,62,"Handicap accessible",
1067,63,63,"Handicap accessible",
1068,64,64,"Handicap accessible",
1069,65,65,"Handicap accessible",
1070,66,66,"Handicap accessible",
1071,67,67,"Handicap accessible",
1072,68,68,"Handicap accessible",
1073,69,69,"Handicap accessible",
1074,70,70,"Handicap accessible",
1075,72,72,"Handicap accessible",
1076,73,73,"Handicap accessible",
1077,74,74,"Handicap accessible",
1078,75,75,"Handicap accessible",
1079,76,76,"Handicap accessible",
1080,77,77,"Handicap accessible",
1081,78,78,"Handicap accessible",
1082,81,81,"Handicap accessible",
1083,82,82,,
1084,85,85,"Handicap accessible",
1085,89,89,"Handicap accessible",
1086,92,92,,
1087,94,94,,
1088,95,95,,
1089,96,96,,
1090,97,97,,
1091,98,98,,
