id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at
295,"920973469831730,1318218238602449,1007199538654431",1133664511724903,,,2:00PM,7:00PM
296,724876636641588,614054990318357,,,8:30AM,4:30PM
297,1249532731729968,,,,8:00AM,6:00PM
298,"1048327823635547,895703387545823",688746232722666,,,9:30AM,8:00PM
299,834460550368169,,,,8:30AM,5:00PM
300,"895973468150097,1174727442443930",,,,8:00AM,3:00PM
301,,791197553917784,,,10:30AM,2:30PM
302,"942312969809968,921815945825806,1181081521839444,1096755308957020,1119079742925957,890398981649041,543629082697964,1241974546153013,787452341993968,1235636405349063,674557198522049,1122242214354849",1170113060894673,,,8:30AM,5:00PM
303,,,,,,
304,"657179015884472,1134764669826308",805806723754090,,,10:00AM,2:00PM
305,"713046095331473,1082503758750664,1220807689850937,855252238426842",641740493818315,,,9:00AM,5:00PM
306,1241641820248132,,,,7:00AM,
307,"859897161557047,735696343430795,747822750998769,784304581015971",1146632771763115,,,8:30AM,5:00PM
308,"850523592271025,617097787641398,1121979483597520",1000709017081839,,,8:30AM,8:00PM
309,"733244062080278,953130575650955,814382562390416,1215438821283570,1146357672886284",803526594539754,,,"24 hours",
310,920716842267245,,,,9:00AM,5:00PM
311,"1052874613014434,566502197729713,571969699128717,855116520932040,610489256524292,782799413098806,605724148465394,1183786146199295,1290396892728753",1183011241112934,,,9:00AM,5:00PM
312,,1146981306227913,,,9:00AM,3:00PM
313,642284944498747,,,,10:00AM,4:00PM
314,871817666202986,,,,8:15AM,9:45AM
315,607894816484467,,,,6:00PM,8:00PM
316,887937499803617,,,,9:30AM,5:30PM
317,1295568882348530,1348564381004436,,,8:00AM,4:00PM
318,850523592271025,1146632771763115,,,9:00AM,3:30PM
319,"859897161557047,747822750998769,784304581015971",1090162375763715,,,8:30AM,8:00PM
320,"1259349665237657,1189947540122655,969095511875672,1147407982912051,1208776169183354,739078424499970,580520440912412",1282458965799792,,,8:00AM,6:00PM
321,"753253159497862,597642797256208,1087270111823708,857913961326886",936934819762396,,,9:00AM,1:00PM
322,1125749101520857,,,,7:00PM,8:00PM
