id,service_id,taxonomy_id,taxonomy_detail
21548,1280,PH-6100.6800,
21549,1280,RP-1400.8000-070,
21550,7988,PH-6100.6800,
21554,7988,RP-1400.8000-020.80,
21555,7988,RP-1400.8000-070,
21556,7988,RX-0400.1850,
21557,7988,RX-8450.1150-150,
21558,7988,RX-8450.1150-180,
21559,4151,RP-6400.8000-620,
21560,7989,PH-1250.1800,
21561,7990,HL-8000.2000,
21563,7968,LN-1500,
21564,6856,RX-8250.0500,
21565,6856,RX-8250.1700,
22137,1438,TJ-3000.8000,
22139,4059,LH-2700.2900,
22141,7756,RX-8470.8200-180,
22143,3109,BH-7000.4600-450,
22144,8111,BH-8400,
22145,8111,PH-1000.8500,
22146,8111,PH-6300.8000,
22147,7187,TJ-3000.8000,
22148,7188,TJ-3000.8000,
22149,1869,RM-7000.1500,
22468,8195,RX-8450.1150-180,
21583,7992,RX-8450.8100-050,
21584,7992,RX-8450.8100-180,
21587,7993,RX-8450.1150-150,
21588,7993,RX-8450.1150-180,
21591,7996,RP-6400.8000-330,
21592,7996,RX-0400.1850,
21593,7996,RP-6400.8000-650.64,
21594,7996,RX-8470.6900,
21595,7996,RX-8450.1150-150,
21596,7996,RX-8450.1150-180,
21598,7997,BH-3700.3000,
21602,7998,RF-2000,
21603,7998,PH-6100.6800,
21604,7999,RF-3300,
21605,7999,RF-2000,
21606,7999,RF-1500,
21607,7999,RF-2500,
21608,7999,RP-6400.8000-650.64,
21609,8000,LR-3200,
21610,8000,LR-3100.1750,
21611,8001,RP-5000.1500,
21612,8001,RP-1500.3300,
21613,8001,RP-6400.8000-650.64,
21614,8002,PH-1000,
19132,7616,RP-6400.8000-660,
21617,7615,PH-1000,
21618,8003,BD-1800.2000-640,
21620,8004,RX-8450.7900,
21621,1299,BH-3700.3000,
21622,1299,DM-1800.1000,
21623,1299,DM-1800.1700,
21624,1299,DM-1800.2000,
21625,1299,DM-6500,
22150,8112,LT-3400.8500,
21626,8005,BT-4500.6500-500,
21627,8005,LF-4800,
21628,8005,LF-5280.1500,
21629,8005,LH-2700.0150,
21630,8005,LH-2700.6000,
21631,8005,LH-6600,
21632,8005,LJ-2000,
21633,8005,LJ-5000,
21634,8005,LJ-5000.6600,
21635,8005,LN-1500,
21616,7571,PX,
21637,8005,LV-1600,
22211,7065,LH-6700.6400-285,
22469,8195,LH-2700.9500-100,
21615,1384,PX,
2595,1381,PH-1400.5000-100,
