id,service_id,location_id,language
923,923,923,Spanish
923,923,923,Creole
924,924,924,English
924,924,924,Spanish
924,924,924,Creole
925,925,925,English
925,925,925,Spanish
926,926,926,English
926,926,926,Spanish
926,926,926,Creole
927,927,927,English
927,927,927,Spanish
927,927,927,Creole
928,928,928,English
928,928,928,Spanish
928,928,928,Creole
929,929,929,English
929,929,929,Spanish
934,934,934,English
934,934,934,Spanish
935,935,935,English
935,935,935,Spanish
936,936,936,English
936,936,936,Spanish
936,936,936,Creole
938,938,938,English
938,938,938,Spanish
941,941,941,English
941,941,941,Spanish
941,941,941,Creole
942,942,942,English
942,942,942,Spanish
943,943,943,English
943,943,943,Spanish
944,944,944,English
944,944,944,Spanish
945,945,945,English
945,945,945,Spanish
946,946,946,English
946,946,946,Spanish
950,950,950,English
950,950,950,Spanish
952,952,952,English
952,952,952,Spanish
953,953,953,English
953,953,953,Spanish
954,954,954,English
954,954,954,Spanish
955,955,955,English
955,955,955,Spanish
956,956,956,English
956,956,956,Spanish
957,957,957,English
957,957,957,Spanish
958,958,958,English
958,958,958,Spanish
959,959,959,English
959,959,959,Spanish
959,959,959,Creole
960,960,960,English
960,960,960,Spanish
960,960,960,Creole
962,962,962,English
962,962,962,Spanish
962,962,962,Creole
964,964,964,English
964,964,964,Spanish
964,964,964,Creole
965,965,965,English
965,965,965,Spanish
965,965,965,Creole
966,966,966,English
966,966,966,Spanish
984,984,984,English
984,984,984,Spanish
984,984,984,Creole
985,985,985,English
985,985,985,Spanish
985,985,985,Creole
986,986,986,English
986,986,986,Spanish
986,986,986,Creole
991,991,991,English
991,991,991,Spanish
997,997,997,English
997,997,997,Spanish
997,997,997,other languages available upon request
998,998,998,English
998,998,998,Spanish
999,999,999,English
999,999,999,Spanish
1001,1001,1001,English
1001,1001,1001,Spanish
1001,1001,1001,\n\nLanguage line available
1002,1002,1002,English
1002,1002,1002,Spanish\n\nOther languages available upon request
1003,1003,1003,English
1003,1003,1003,Spanish
1003,1003,1003,language line available
1004,1004,1004,English
1004,1004,1004,Spanish
1005,1005,1005,English
1005,1005,1005,Spanish
1005,1005,1005,Creole
1005,1005,1005,French (with translators available when required)
1006,1006,1006,English
1006,1006,1006,Spanish
1007,1007,1007,English
1007,1007,1007,Spanish
1007,1007,1007,Hebrew
1007,1007,1007,French\n\nLanguage available upon request
1009,1009,1009,English
1009,1009,1009,Spanish
1009,1009,1009,Creole
1019,1019,1019,English
1019,1019,1019,Spanish
1012,1012,1012,English
1012,1012,1012,Spanish
1013,1013,1013,English
1013,1013,1013,Spanish
1013,1013,1013,Creole
1014,1014,1014,English
1014,1014,1014,Spanish
1015,1015,1015,English
1015,1015,1015,Spanish
1016,1016,1016,English
1016,1016,1016,Spanish
1017,1017,1017,English
1017,1017,1017,Spanish
1020,1020,1020,English
1020,1020,1020,Spanish
1021,1021,1021,English
1021,1021,1021,Spanish
1022,1022,1022,English
1022,1022,1022,Spanish
1025,1025,1025,English
1025,1025,1025,Spanish
1026,1026,1026,English
1026,1026,1026,Spanish
1027,1027,1027,English
1027,1027,1027,Spanish
1032,1032,1032,English
1032,1032,1032,Spanish
1035,1035,1035,English
1035,1035,1035,Spanish
1036,1036,1036,English
1036,1036,1036,Spanish
1037,1037,1037,English
