id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at,original_text
,8404,,,Wednesday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8404,,,Thursday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8404,,,Friday,8:30am,4:30pm,"8:30am-4:30pm, Mon-Fri"
,8406,,,Monday,3:30pm,5:00pm,"3:30pm-5:00pm, Mon"
,8411,,,Monday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8411,,,Tuesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8411,,,Wednesday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8411,,,Thursday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8411,,,Friday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,8417,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8417,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8417,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8417,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8417,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8418,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8418,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8418,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8418,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8418,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8419,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8419,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8419,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8419,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8419,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,8425,,,Monday,9:00am,9:00pm,"9:00am-9:00pm, Mon-Fri"
,8425,,,Tuesday,9:00am,9:00pm,"9:00am-9:00pm, Mon-Fri"
,8425,,,Wednesday,9:00am,9:00pm,"9:00am-9:00pm, Mon-Fri"
,8425,,,Thursday,9:00am,9:00pm,"9:00am-9:00pm, Mon-Fri"
,8425,,,Friday,9:00am,9:00pm,"9:00am-9:00pm, Mon-Fri"
