id,service_id,taxonomy_id,taxonomy_detail
22084,6510,PH-0300.0300,
22086,6510,RF-3300,
22087,6510,RP-5000.5000-260,
22088,6510,RP-5000.6600,
12745,3536,BH-8400.6000-060,
12746,3536,PH-7000.6000-060,
12747,6566,PS-9800.1000,
12748,6567,PS-9800.1000,
12750,5853,FT-4200,
16139,4292,PH-1400.5000,
12766,315,FP-0500,
18215,6649,TD-1100.1400,
12788,1135,FC-8200,
12790,6581,FC-8200,
12791,6581,TD-0300.8000,
12792,6582,FC-8200,
12795,1213,BH-3500.3400-250,
12794,6583,FC-8200,
12797,6584,TD-1100.1400,
13741,150,PX,
13743,161,PX,
13752,6857,PH-6100.6800,
13759,6859,FT-6900.2500,
13813,6871,FC-8200.1500,
13848,3087,RM-3300.6500,
13849,3087,RP-6400.8000-600,
13850,3087,RM-6500,
18216,6680,TD-1100.1400,
13913,388,BH-3500.3400-300,
13921,6902,ND-9000,
14117,2806,FF-1500.3500,
20522,6471,PX,
14035,2859,PS-9800.1000,
13945,6619,BV-8900.9300,
18411,7503,RX-8450.3300-300,
14001,76,BH-3900.3050-180,
14002,76,BH-7000.4600-450,
14009,5593,TJ-4500.4500-750,
14010,5593,TJ-4500.8300-100,
14011,5593,TJ-4400.8100-180,
14118,2806,PH-6500.1500-600,
14042,5392,ND-1500,
14079,6952,LF-7000,
14080,6952,LV-6800,
14081,6952,PH-6100,
14099,1349,LL-3000.7800,
14100,1353,LL-3000.7800,
22089,6510,RP-8000.6600,
12818,6587,BH-3800.7000,
12832,6596,LH-2700.1700,
12833,6596,PN-8100,
12835,6259,TD-1100.1400,
12836,6597,BV-8900.9300-180,
20523,7254,PH-1250.1800,
12838,6599,PL-7400.1500,
20524,7254,PS-9800.9900,
12854,6250,TD-1100.1400,
12873,6608,BV-8900.9300-180,
12877,6610,BH-3800.7000,
18412,7503,RX-8450.3300-350,
18413,7503,RX-1700.1700-330,
18414,7503,RX-1700.1700-500,
18415,7503,RX-1700.1700-650,
12814,6585,BV-8900.9300-180,
22090,7317,HL-2000.8000,
12886,6262,TD-1100.1400,
12916,6625,FC-8200.1550,
12917,6626,FC-8200.1550,
20525,7254,PX,
12901,6617,BV-8900.9300-180,
12905,6619,BH-3800.7000,
18416,7503,RM-7000.0500,
12912,6624,DF-7000.2270,
13200,6702,HD-1800.3000,
21128,6604,TJ-3000.8000,
13202,6703,TC-1700,
13203,39,FT-3500.1500,
13204,6705,FT-3500.1500,
13205,6706,FT-3500.1500,
13206,6707,FT-3500.1500,
13207,467,LT-1750.7935,
13208,467,RP-1400.8000-800,
13209,468,LL-3000.9000,
13210,470,LL-3000.9000,
13211,466,LL-3000.9000,
13212,475,LL-3000.9000,
13213,474,LL-3000.9000,
13216,6708,LH-6300.3650-600,
13217,466,PX,
21472,7960,PH-1250.1800,
13232,6713,PH-1000,
13233,6713,LJ-5000.1500,
13234,6713,LJ-5000.1000,
13235,6713,RX-8470.8100,
13236,6713,RX-8450.7900,
13237,6713,LH-2700.6000,
13238,6713,RD-3000.6750,
13240,6713,LJ-5000,
13250,6718,LJ-5000.0900,
13242,6716,LJ-5000.6600,
13244,6717,JR-8200.6500-350,
13245,6717,JR-8200.3000-340,
13246,6717,JR-8200.8500-160,
13247,6717,JR-8400.1500,
13248,6717,BM-3000.2000-100,
13251,6718,LJ-5000.1500,
13252,6718,BT-8300,
13253,6718,LH-2700.2900,
13254,6720,TD-1100.1400,
13256,6721,PH-1000,
13261,6724,HD-1800.3000,
13263,6726,BH-1800.1500-100,
13264,6727,BH-1800.1500-100,
13265,6728,HD-1800.3000,
13266,6729,HD-1800.3000,
13267,6721,FN-1500.9100-180,
13269,6721,TJ-3000.8000,
13271,6721,BD-1800,
13272,6721,BM-6500.1500,
13273,6721,FP-0500.3300,
13274,6721,PN-8100.0200-180,
13275,6721,RP-1400.8000-020.15,
13276,6721,FN-1500.1900-150,
13277,6721,PN-8100.0200-100,
13278,6730,HD-1800.3000,
13279,6721,RP-1400.8000-020.80,
2602,1385,PH-1400.5000-100,
2603,1385,PS-9800,
2604,1385,PX,
22608,8236,RD-6800.6500,
13305,6733,FF-0500.1800-300,
25213,8890,PS-9800.9900,
25214,8890,PX,
13316,3551,LH-2700.9500-100,
13317,3551,BD-5000.3500,
13318,3552,BD-5000.1500,
13319,3552,BD-5000.3500,
13320,3552,LH-2700.9500-100,
13323,3553,BD-5000.1500,
13324,3553,BD-5000.3500,
13325,3553,LH-2700.9500-100,
13816,6872,FC-8200.1550,
13818,6873,FC-8200.8100-900,
13819,6874,FC-8200.8100-900,
21130,3356,DT-8500.3300,
13328,3550,BD-5000.1500,
13329,3550,BD-5000.3500,
13330,3550,LH-2700.9500-100,
25215,8892,PH-1250.1800,
13334,766,ND-3500.3700,
13335,760,ND-3500.3700,
13336,764,ND-3500.3700,
13337,761,ND-3500.3700,
13338,769,ND-3500.3700,
13339,768,ND-3500.3700,
13340,762,ND-3500.3700,
13341,770,ND-3500.3700,
13342,6475,ND-3500.3700,
13343,772,ND-3500.3700,
13345,763,ND-3500.3700,
