id,name,service_id,location_id,service_at_location_id,weekday,valid_from,valid_to,dtstart,until,wkst,freq,interval,byday,byweekno,bymonthday,byyearday,description,opens_at,closes_at
894173153490187,"Rebuilding Together DC Alexandria",1107751503709452,645897759928377,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
894173153490187,"Rebuilding Together DC Alexandria",1076835020018645,645897759928377,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
894173153490187,"Rebuilding Together DC Alexandria",1228697695545072,645897759928377,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
969910937524360,"Mary's Center - Pharmacy",561831919465625,991046422392107,,"Monday - Friday",,,8:30AM,6:30PM,,,,,,,,,,
1003280669828155,"Mary's Center - Fort Totten - Behavioral Health Hours",570279198497703,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1003280669828155,"Mary's Center - Fort Totten - Behavioral Health Hours",615102245607234,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1003280669828155,"Mary's Center - Fort Totten - Behavioral Health Hours",1054654881182092,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1003280669828155,"Mary's Center - Fort Totten - Behavioral Health Hours",1073305429578122,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1003280669828155,"Mary's Center - Fort Totten - Behavioral Health Hours",1049979809257514,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1003280669828155,"Mary's Center - Fort Totten - Behavioral Health Hours",1149133594765984,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1003280669828155,"Mary's Center - Fort Totten - Behavioral Health Hours",1171041183154896,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1003280669828155,"Mary's Center - Fort Totten - Behavioral Health Hours",1281873572081806,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1153058029513279,"AARP Legal Counsel for the Elderly",635645258311778,978433964868542,,Monday,,,9:00AM,5:00PM,,,,,,,,,,
1153058029513279,"AARP Legal Counsel for the Elderly",805290013325766,978433964868542,,Monday,,,9:00AM,5:00PM,,,,,,,,,,
1153058029513279,"AARP Legal Counsel for the Elderly",982207553498582,978433964868542,,Monday,,,9:00AM,5:00PM,,,,,,,,,,
1153058029513279,"AARP Legal Counsel for the Elderly",954742655318156,978433964868542,,Monday,,,9:00AM,5:00PM,,,,,,,,,,
1153058029513279,"AARP Legal Counsel for the Elderly",1146427923405605,978433964868542,,Monday,,,9:00AM,5:00PM,,,,,,,,,,
1153058029513279,"AARP Legal Counsel for the Elderly",1108394531508208,978433964868542,,Monday,,,9:00AM,5:00PM,,,,,,,,,,
1153058029513279,"AARP Legal Counsel for the Elderly",1102203467116873,978433964868542,,Monday,,,9:00AM,5:00PM,,,,,,,,,,
1153058029513279,"AARP Legal Counsel for the Elderly",1122765390786822,978433964868542,,Monday,,,9:00AM,5:00PM,,,,,,,,,,
1106799266409790,"Mary's Center - Petworth Health Center - Behavioral Health ",570279198497703,1202618027693441,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,,,
1106799266409790,"Mary's Center - Petworth Health Center - Behavioral Health ",615102245607234,1202618027693441,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,,,
1106799266409790,"Mary's Center - Petworth Health Center - Behavioral Health ",1054654881182092,1202618027693441,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,,,
1106799266409790,"Mary's Center - Petworth Health Center - Behavioral Health ",1073305429578122,1202618027693441,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,,,
1106799266409790,"Mary's Center - Petworth Health Center - Behavioral Health ",1149133594765984,1202618027693441,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,,,
1106799266409790,"Mary's Center - Petworth Health Center - Behavioral Health ",1171041183154896,1202618027693441,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,,,
1106799266409790,"Mary's Center - Petworth Health Center - Behavioral Health ",1281873572081806,1202618027693441,,"Monday - Friday",,,8:00AM,5:00PM,,,,,,,,,,
1184491209256204,"Mary's Center - Petworth Health Center - Medical - Monday, Wednesday",771415038083007,1202618027693441,,"Monday, Wednesday",,,8:00AM,8:00PM,,,,,,,,,,
1184491209256204,"Mary's Center - Petworth Health Center - Medical - Monday, Wednesday",927583086660595,1202618027693441,,"Monday, Wednesday",,,8:00AM,8:00PM,,,,,,,,,,
1184491209256204,"Mary's Center - Petworth Health Center - Medical - Monday, Wednesday",935391639326831,1202618027693441,,"Monday, Wednesday",,,8:00AM,8:00PM,,,,,,,,,,
1184491209256204,"Mary's Center - Petworth Health Center - Medical - Monday, Wednesday",1222212212143407,1202618027693441,,"Monday, Wednesday",,,8:00AM,8:00PM,,,,,,,,,,
1184491209256204,"Mary's Center - Petworth Health Center - Medical - Monday, Wednesday",1330210073954058,1202618027693441,,"Monday, Wednesday",,,8:00AM,8:00PM,,,,,,,,,,
1157784454037653,"Vida Senior Centers Main Hours",826324408184019,,,"Monday - Friday",,,9:00AM,5:00PM,,,,,,,,,,
1239905610045057,"Mary's Center - Fort Totten - Medical Hours",771415038083007,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1239905610045057,"Mary's Center - Fort Totten - Medical Hours",927583086660595,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1239905610045057,"Mary's Center - Fort Totten - Medical Hours",935391639326831,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1239905610045057,"Mary's Center - Fort Totten - Medical Hours",1222212212143407,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1239905610045057,"Mary's Center - Fort Totten - Medical Hours",1330210073954058,953875575104132,,"Monday - Friday",,,8:00AM,6:00PM,,,,,,,,,,
1288075226708754,"ERFSC Mon-Thur",1236034161171034,,,"Monday - Thursday",,,8:30AM,7:00PM,,,,,,,,,,
1338861885600894,,1227451026876891,,,,,,,,,,,monday,,,,,,
1338861885600895,,1227451026876891,,,,,,,,,,,tuesday,,,,,,
1338861885600896,,1227451026876891,,,,,,,,,,,wednesday,,,,,,
1338861885600897,,1227451026876891,,,,,,,,,,,thursday,,,,,,
1338861885600898,,1227451026876891,,,,,,,,,,,friday,,,,,,
1338861885600899,,1227451026876891,,,,,,,,,,,saturday,,,,,,
1338861885600900,,1227451026876891,,,,,,,,,,,sunday,,,,,,
1338861885601004,,1157089206097365,,,,,,,,,,,monday,,,,,08:30,16:30
1338861885601005,,1157089206097365,,,,,,,,,,,tuesday,,,,,08:30,16:30
1338861885601006,,1157089206097365,,,,,,,,,,,wednesday,,,,,08:30,16:30
1338861885601007,,1157089206097365,,,,,,,,,,,thursday,,,,,08:30,16:30
1338861885601008,,1157089206097365,,,,,,,,,,,friday,,,,,08:30,16:30
1338861885601009,,1157089206097365,,,,,,,,,,,saturday,,,,,,
1338861885601010,,1157089206097365,,,,,,,,,,,sunday,,,,,,
1338861885601011,,1342355454259613,,,,,,,,,,,monday,,,,,08:30,16:30
1338861885601012,,1342355454259613,,,,,,,,,,,tuesday,,,,,,
1338861885601013,,1342355454259613,,,,,,,,,,,wednesday,,,,,,
1338861885601014,,1342355454259613,,,,,,,,,,,thursday,,,,,,
1338861885601015,,1342355454259613,,,,,,,,,,,friday,,,,,,
1338861885601016,,1342355454259613,,,,,,,,,,,saturday,,,,,,
1338861885601017,,1342355454259613,,,,,,,,,,,sunday,,,,,,
1338861885601277,,958856187058355,,,,,,,,,,,monday,,,,,,
1338861885601278,,958856187058355,,,,,,,,,,,tuesday,,,,,,
1338861885601279,,958856187058355,,,,,,,,,,,wednesday,,,,,,
1338861885601280,,958856187058355,,,,,,,,,,,thursday,,,,,,
1338861885601281,,958856187058355,,,,,,,,,,,friday,,,,,,
1338861885601282,,958856187058355,,,,,,,,,,,saturday,,,,,,
1338861885601283,,958856187058355,,,,,,,,,,,sunday,,,,,,
