id,location_id,attention,address_1,address_2,address_3,address_4,city,region,state_province,postal_code,country
319,1092756194618999,,"9601 Colesville Road",,,,"Silver Spring",,MD,20901,US
320,1139106965939659,,"65 Massachusetts Avenue, NW",,,,Washington,,DC,20001,US
320,633623168263940,,"65 Massachusetts Avenue, NW",,,,Washington,,DC,20001,US
321,1099219791360979,,"3800 Reservoir Rd",,,,Washington,,DC,20007,US
322,1270081732081180,,"2041 Martin Luther King Jr. Ave., SE",,,,Washington,,DC,20020,US
323,1114551742239605,,"1627 Kenilworth Ave. NE",,,,Washington,,DC,20019,US
324,854967346211154,,"4130 Hunt Place, NE",,,,Washington,,DC,20019,US
325,599293678245907,,"20501 Georgia Avenue",,,,Brookville,,MD,20833,US
326,1220913087660847,,"3720 Martin Luther King Jr Ave SE",,,,Washington,,DC,20032,US
327,1210032943864131,,"18905 Kingsview Rd",,,,Germantown,,MD,20874,US
328,562543524311596,,"77 P St NE",,,,Washington,,DC,20002,US
329,785890152776040,,"741 8th St SE",,,,Washington,,DC,20003,US
330,1275795457873123,,"3016 Martin Luther King SE",,,,Washington,,"DC ",20032,US
331,623386708908164,,"1350 49th Street NE",,,,Washington,,DC,20019,US
332,604721858303896,,"1333 N St NW",,,,Washington,,DC,20005,US
332,935485129696113,,"1333 N St NW",,,,Washington,,DC,20005,US
333,1205691016832902,,"2001 Mississippi Ave SE",,,,Washington,,DC,20020,US
334,760606739511356,,"12247 Georgia Ave",,,,"Silver Spring",,MD,20902,US
335,890802848970199,,"5000 Block Nannie Helen Burroughs Ave NE",,,,Washington,,DC,20019,US
336,827272218664674,,"900 North Capitol Street NW",,,,Washington,,DC,20001,US
337,877576876041734,,"2225 5th Street NE",,,,Washington,,DC,20002,US
338,1218401963055584,,"250 E St SW",,,,Washington,,DC,20024,US
339,1202618027693441,,"3912 Georgia Avenue, NW",,,,Washington,,DC,20011,US
340,1146962447647430,,"1734 7th St. NW",,,,Washington,,DC,20001,US
341,1274752047885511,,"1701 Gales Street NE",,,,Washington,,DC,20002,US
342,777359034139686,,"3203 Martin Luther King Jr Avenue SE",,,,Washington,,DC,20032,US
343,636167681957227,,"611 Edgewood St., NE",,,,Washington,,DC,20017,US
344,1056414203994963,,"25 - 53rd Street NE",,,,Washington,,DC,20019,US
345,1103047411510967,,"1419 Columbia Rd NW",,,,Washington,,DC,20009,US
